Box ID,Clutch Number,Species,Species Code,Playback?,Treatment 
1,1,Eastern Bluebird,EB,No,Q
5,1,Eastern Bluebird,EB,Yes,Q+P
8,1,Eastern Bluebird,EB,Yes,N+P
14,1,Eastern Bluebird,EB,No,Q
22,1,Eastern Bluebird,EB,No,Q
24,1,Eastern Bluebird,EB,Yes,Q+P
25,1,Carolina Chickadee,CC,Yes,Q+P
26,1,Eastern Bluebird,EB,Yes,N+P
33,1,Carolina Chickadee,CC,Yes,Q+P
35,1,Eastern Bluebird,EB,Yes,Q+P
36,1,Carolina Chickadee,CC,Yes,Q+P
47,1,Eastern Bluebird,EB,No,N
48,1,Eastern Bluebird,EB,Yes,N+P
49,1,Eastern Bluebird,EB,No,Q
50,1,Carolina Chickadee,CC,No,Q
53,1,Eastern Bluebird,EB,Yes,Q+P
55,1,Eastern Bluebird,EB,No,Q
56,1,Eastern Bluebird,EB,Yes,N+P
65,1,Carolina Wren,CW,No,Q
67,1,Eastern Bluebird,EB,No,Q
68,1,Carolina Wren,CW,Yes,Q+P
73,1,Eastern Bluebird,EB,No,Q
74,1,Carolina Chickadee,CC,No,Q
75,1,Eastern Bluebird,EB,No,Q
76,1,Eastern Bluebird,EB,Yes,N+P
83,1,Eastern Bluebird,EB,Yes,N+P
87,1,Eastern Bluebird,EB,Yes,N+P
89,1,Eastern Bluebird,EB,Yes,N+P
91,1,Eastern Bluebird,EB,Yes,N+P
92,1,Eastern Bluebird,EB,Yes,Q+P
93,1,Eastern Bluebird,EB,Yes,N+P
98,1,Eastern Bluebird,EB,Yes,N+P
99,1,Carolina Chickadee,CC,Yes,N+P
1,2,Eastern Bluebird,EB,Yes,Q+P
14,2,Eastern Bluebird,EB,No,Q
16,2,Eastern Bluebird,EB,Yes,Q+P
24,2,Eastern Bluebird,EB,Yes,Q+P
48,2,Eastern Bluebird,EB,No,N
48,3,Eastern Bluebird,EB,Yes,N+P
5,2,Eastern Bluebird,EB,No,Q
52,2,Eastern Bluebird,EB,No,N
53,2,Eastern Bluebird,EB,No,Q
56,2,Eastern Bluebird,EB,Yes,N+P
73,2,Eastern Bluebird,EB,Yes,Q+P
76,2,Eastern Bluebird,EB,No,N
8,2,Eastern Bluebird,EB,No,N
8,3,Eastern Bluebird,EB,No,N
83,2,Eastern Bluebird,EB,No,N
89,2,Eastern Bluebird,EB,No,N
91,2,Eastern Bluebird,EB,No,N
91,3,Eastern Bluebird,EB,No,N
93,2,Eastern Bluebird,EB,No,N
93,3,Eastern Bluebird,EB,Yes,N+P
98,2,Eastern Bluebird,EB,Yes,N+P
99,2,Eastern Bluebird,EB,No,N
