Box_ID,1st_Minimum,1st_Average,1st_Maximum,1st_Peak,1st_Date_and_time,2nd_Minimum,2nd_Average,2nd_Maximum,2nd_Peak,2nd_Date_and_time,3rd_Minimum,3rd_Average,3rd_Maximum,3rd_Peak,3rd_Date_and_time,4th_Minimum,4th_Average,4th_Maximum,4th_Peak,4th_Date_and_time,5th_Minimum,5th_Average,5th_Maximum,5th_Peak,5th_Date_and_time,,,,,,
1,56.5,63.1,71.2,79.4,3/15 2:06-2:09,51.6,58.5,70.8,78.5,3/19 1:16-1:19,52.1,60.9,72.1,81.4,3/22 4:26-4:29,54.6,59.3,68.5,74.3,3/30 10:11-10:14am,51,54.7,60.3,63.7,7/5/22 13:38,,,,,,
2,53.7,74.2,89.6,94.9,3/22/19 15:15,42.9,71.2,92.3,96.9,3/24/19 14:10,52.9,78,96.6,103,3/28/19 9:44,52.4,72.8,92.3,97,4/18/22 10:24,,,,,,,,,,,
3,53.2,61.9,77.4,82.9,3/15 1:17-1:20,50.1,59.9,77.9,81.9,3/19 1:05-1:08,53.4,67.8,84.8,93.9,3/22 3:44-3:47,52.4,57.5,70.2,77.9,3/30 10:19-10:22am,51.8,59,78.2,80.7,7/5/22 13:47,,,,,,
4,60.5,79,90.5,94.8,3/15 1:51-1:54,60.4,72.5,82.2,88.2,3/19 12:27-12:30,65.2,72.7,86.8,93.2,3/22 4:15-4:18,67,75.4,88.2,93.4,3/30 10:53-10:56am,64.3,74.3,86.8,88.2,7/5/22 14:13,,,,,,
5,56.7,71.2,86.7,91.7,4/21/19 12:23,58.1,64.8,71.1,74.1,,53.5,63,68.8,75.4,,,,,,,,,,,,,,,,,
7,60,64,68.4,76.1,5/2/22 11:14,60.9,65.5,70.9,75.4,,,,,,,,,,,,,,,,,,,,,,
8,64.5,87.7,106.7,,,54.2,73.8,92.7,102.2,4/21/22 13:18,55.4,60.8,78.5,82.8,4/23/22 9:52,72,59.4,86.3,91.1,5/2/22 9:40,,,,,,,,,,,
9,53,58.3,66.5,75.4,3/15 1:22-1:25,53.2,61.2,73.5,79.9,3/19 1:01-1:04,52.2,63,82.9,89.2,3/22 3:49-3:52,51.7,56.5,71.9,80,3/30 10:23-10:26am,53.6,61.1,79,86.7,7/5/22 13:51,,,,,,
9,63.7,69,77.1,80.9,5/2/22 11:41,63.9,67.2,71.2,73.8,,,,,,,,,,,,,,,,,,,,,,
10,60.9,66.8,74,81.1,5/2/22 10:57,58.6,64.4,71.3,74,,,,,,,,,,,,,,,,,,,,,,
11,53.1,75.8,80.7,,,55.2,71.6,94.2,100.6,4/21/22 13:24,57.8,60.9,75.5,84.9,4/23/22 9:55,60.4,66.7,81.1,88,5/2/22 9:36,,,,,,,,,,,
12,56,73.8,96.2,102.5,3/22/19 14:49,50.3,60.1,74.6,80.8,3/24/19 13:43,44.2,52,59.4,63.2,3/28/22 10:56,,,,,,,,,,,,,,,,
13,70.7,87.7,104.3,,,55.4,67.4,80.6,88.5,4/21/22 13:12,56.2,60.2,68.9,74.2,4/23/22 9:48,58.1,66.6,78,86.7,5/2/22 9:14,,,,,,,,,,,
14,72.3,93,94.7,,,51.7,71.2,84,90.2,4/21/22 13:51,56.1,61.8,72.3,77.5,4/23/22 10:07,58.9,67,81.6,89.1,5/2/22 9:25,,,,,,,,,,,
