Box ID,Clutch Number,Species,Species Code,Playback?,Treatment 
1,1,Eastern Bluebird,EB,No,Q
5,1,Eastern Bluebird,EB,Yes,Q+C
8,1,Eastern Bluebird,EB,Yes,N+C
14,1,Eastern Bluebird,EB,No,Q
22,1,Eastern Bluebird,EB,No,Q
24,1,Eastern Bluebird,EB,Yes,Q+C
25,1,Carolina Chickadee,CC,Yes,Q+C
26,1,Eastern Bluebird,EB,Yes,N+C
33,1,Carolina Chickadee,CC,Yes,Q+C
35,1,Eastern Bluebird,EB,Yes,Q+C
36,1,Carolina Chickadee,CC,Yes,Q+C
47,1,Eastern Bluebird,EB,No,N
48,1,Eastern Bluebird,EB,Yes,N+C
49,1,Eastern Bluebird,EB,No,Q
50,1,Carolina Chickadee,CC,No,Q
53,1,Eastern Bluebird,EB,Yes,Q+C
55,1,Eastern Bluebird,EB,No,Q
56,1,Eastern Bluebird,EB,Yes,N+C
65,1,Carolina Wren,CW,No,Q
67,1,Eastern Bluebird,EB,No,Q
68,1,Carolina Wren,CW,Yes,Q+C
73,1,Eastern Bluebird,EB,No,Q
74,1,Carolina Chickadee,CC,No,Q
75,1,Eastern Bluebird,EB,No,Q
76,1,Eastern Bluebird,EB,Yes,N+C
83,1,Eastern Bluebird,EB,Yes,N+C
87,1,Eastern Bluebird,EB,Yes,N+C
89,1,Eastern Bluebird,EB,Yes,N+C
91,1,Eastern Bluebird,EB,Yes,N+C
92,1,Eastern Bluebird,EB,Yes,Q+C
93,1,Eastern Bluebird,EB,Yes,N+C
98,1,Eastern Bluebird,EB,Yes,N+C
99,1,Carolina Chickadee,CC,Yes,N+C
1,2,Eastern Bluebird,EB,Yes,Q+C
14,2,Eastern Bluebird,EB,No,Q
16,2,Eastern Bluebird,EB,Yes,Q+C
24,2,Eastern Bluebird,EB,Yes,Q+C
48,2,Eastern Bluebird,EB,No,N
48,3,Eastern Bluebird,EB,Yes,N+C
5,2,Eastern Bluebird,EB,No,Q
52,2,Eastern Bluebird,EB,No,N
53,2,Eastern Bluebird,EB,No,Q
56,2,Eastern Bluebird,EB,Yes,N+C
73,2,Eastern Bluebird,EB,Yes,Q+C
76,2,Eastern Bluebird,EB,No,N
8,2,Eastern Bluebird,EB,No,N
8,3,Eastern Bluebird,EB,No,N
83,2,Eastern Bluebird,EB,No,N
89,2,Eastern Bluebird,EB,No,N
91,2,Eastern Bluebird,EB,No,N
91,3,Eastern Bluebird,EB,No,N
93,2,Eastern Bluebird,EB,No,N
93,3,Eastern Bluebird,EB,Yes,N+C
98,2,Eastern Bluebird,EB,Yes,N+C
99,2,Eastern Bluebird,EB,No,N
