DataCode,RecType,RecYear,Date,Watershed,Habitat,Replicate,SPPCode,Count
CFP01,2,1995,5/22/1995,MID,Combined,1,CAMANO,52
CFP01,2,1995,5/22/1995,MID,Combined,1,CATCOM,0
CFP01,2,1995,5/22/1995,MID,Combined,1,CHRERY,45
CFP01,2,1995,5/22/1995,MID,Combined,1,CRAY,0
CFP01,2,1995,5/22/1995,MID,Combined,1,CYPLUT,0
CFP01,2,1995,5/22/1995,MID,Combined,1,ETHNIG,0
CFP01,2,1995,5/22/1995,MID,Combined,1,ETHSPE,14
CFP01,2,1995,5/22/1995,MID,Combined,1,GAMAFF,0
CFP01,2,1995,5/22/1995,MID,Combined,1,LEPCYA,0
CFP01,2,1995,5/22/1995,MID,Combined,1,LEPHUM,0
CFP01,2,1995,5/22/1995,MID,Combined,1,LEPMAC,0
CFP01,2,1995,5/22/1995,MID,Combined,1,LEPMEG,0
CFP01,2,1995,5/22/1995,MID,Combined,1,LUXCOR,0
CFP01,2,1995,5/22/1995,MID,Combined,1,NOTEXI,0
CFP01,2,1995,5/22/1995,MID,Combined,1,NOTSTR,0
CFP01,2,1995,5/22/1995,MID,Combined,1,ORCNAI,0
CFP01,2,1995,5/22/1995,MID,Combined,1,ORCNEG,0
CFP01,2,1995,5/22/1995,MID,Combined,1,PHEMIR,0
CFP01,2,1995,5/22/1995,MID,Combined,1,PIMNOT,0
CFP01,2,1995,5/22/1995,MID,Combined,1,PIMPRO,0
CFP01,2,1995,5/22/1995,MID,Combined,1,SEMATR,0
CFP01,2,1995,5/22/1995,MID,Combined,1,TADPOLE,0
CFP01,2,1995,8/7/1995,MID,Combined,1,CAMANO,56
CFP01,2,1995,8/7/1995,MID,Combined,1,CATCOM,0
CFP01,2,1995,8/7/1995,MID,Combined,1,CHRERY,29
CFP01,2,1995,8/7/1995,MID,Combined,1,CRAY,0
CFP01,2,1995,8/7/1995,MID,Combined,1,CYPLUT,0
CFP01,2,1995,8/7/1995,MID,Combined,1,ETHNIG,0
CFP01,2,1995,8/7/1995,MID,Combined,1,ETHSPE,3
CFP01,2,1995,8/7/1995,MID,Combined,1,GAMAFF,0
CFP01,2,1995,8/7/1995,MID,Combined,1,LEPCYA,0
CFP01,2,1995,8/7/1995,MID,Combined,1,LEPHUM,0
CFP01,2,1995,8/7/1995,MID,Combined,1,LEPMAC,0
CFP01,2,1995,8/7/1995,MID,Combined,1,LEPMEG,0
CFP01,2,1995,8/7/1995,MID,Combined,1,LUXCOR,0
CFP01,2,1995,8/7/1995,MID,Combined,1,NOTEXI,0
CFP01,2,1995,8/7/1995,MID,Combined,1,NOTSTR,0
CFP01,2,1995,8/7/1995,MID,Combined,1,ORCNAI,0
CFP01,2,1995,8/7/1995,MID,Combined,1,ORCNEG,0
CFP01,2,1995,8/7/1995,MID,Combined,1,PHEMIR,0
CFP01,2,1995,8/7/1995,MID,Combined,1,PIMNOT,0
CFP01,2,1995,8/7/1995,MID,Combined,1,PIMPRO,0
CFP01,2,1995,8/7/1995,MID,Combined,1,SEMATR,0
CFP01,2,1995,8/7/1995,MID,Combined,1,TADPOLE,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,CAMANO,3
CFP01,2,1995,5/22/1995,N1B,Combined,1,CATCOM,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,CHRERY,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,CRAY,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,CYPLUT,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,ETHNIG,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,ETHSPE,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,GAMAFF,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,LEPCYA,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,LEPHUM,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,LEPMAC,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,LEPMEG,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,LUXCOR,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,NOTEXI,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,NOTSTR,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,ORCNAI,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,ORCNEG,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,PHEMIR,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,PIMNOT,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,PIMPRO,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,SEMATR,0
CFP01,2,1995,5/22/1995,N1B,Combined,1,TADPOLE,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,CAMANO,53
CFP01,2,1995,8/8/1995,N1B,Combined,1,CATCOM,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,CHRERY,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,CRAY,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,CYPLUT,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,ETHNIG,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,ETHSPE,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,GAMAFF,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,LEPCYA,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,LEPHUM,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,LEPMAC,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,LEPMEG,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,LUXCOR,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,NOTEXI,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,NOTSTR,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,ORCNAI,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,ORCNEG,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,PHEMIR,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,PIMNOT,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,PIMPRO,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,SEMATR,0
CFP01,2,1995,8/8/1995,N1B,Combined,1,TADPOLE,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,CAMANO,57
CFP01,2,1995,11/17/1995,N1B,Combined,1,CATCOM,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,CHRERY,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,CRAY,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,CYPLUT,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,ETHNIG,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,ETHSPE,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,GAMAFF,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,LEPCYA,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,LEPHUM,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,LEPMAC,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,LEPMEG,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,LUXCOR,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,NOTEXI,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,NOTSTR,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,ORCNAI,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,ORCNEG,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,PHEMIR,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,PIMNOT,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,PIMPRO,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,SEMATR,0
CFP01,2,1995,11/17/1995,N1B,Combined,1,TADPOLE,0
CFP01,2,1995,5/16/1995,N4D,Combined,1,CAMANO,56
CFP01,2,1995,5/16/1995,N4D,Combined,1,CATCOM,0
CFP01,2,1995,5/16/1995,N4D,Combined,1,CHRERY,54
CFP01,2,1995,5/16/1995,N4D,Combined,1,CRAY,0
CFP01,2,1995,5/16/1995,N4D,Combined,1,CYPLUT,0
CFP01,2,1995,5/16/1995,N4D,Combined,1,ETHNIG,0
CFP01,2,1995,5/16/1995,N4D,Combined,1,ETHSPE,31
CFP01,2,1995,5/16/1995,N4D,Combined,1,GAMAFF,0
CFP01,2,1995,5/16/1995,N4D,Combined,1,LEPCYA,0
